"G0318 Aquatic Science Lab (18)","156"
"G0347 Exam Room (85)","157"
"G0351 (20)","158"
"G0364 (57)","159"
"G0365 (57)","160"
"G0366 (57)","161"
"G0367a (2)","162"
"G0367b (2)","163"
"G0368 (38)","164"
"G0369 (38)","165"
"G0370 (38)","166"
"G0373 (39)","167"
"G0374 (47)","168"
"G0375 (32)","169"
"G0376 (35)","170"
"G0377 (35)","171"
"G0378 (45)","172"
"G0379 (35)","173"
"G0380 (42)","174"
"G0402 Biochemistry Lab (18)","175"
"G0405 Biochem/Chemistry Lab (18)","176"
"G0411 Chromotography Lab (20)","177"
"G0422 Electro Chem Lab (18)","178"
"G0436 CR5 (25)","179"
"G0450 Grey Lab (16)","180"
"G0451 Microbiology Lab (18)","181"
"G0470 Computing Practical Lab (35)","182"
"G0471 Med Lab (18)","183"
"G0475 Molecular Biology Lab (24)","184"
"G0476 Food Science Lab/Wine Room (16)","185"
"G0478 Green Lab (24)","186"
"G0479 Blue Lab (24)","187"
"G0480 CR7 (24)","188"
"G0481 CR4 (21)","189"
"G0482 CR3 (25)","190"
"G0483 CR2 (22)","191"
"G0484 CR1 (20)","192"
"G0501 Electronic CAD Lab (24)","193"
"G0502 Physics Lab (20)","194"
"G0506 Computer Lab (20)","195"
"G0507 Computer Lab (16)","196"
"G0508 Computer Lab (20)","197"
"G0511 Lab (16)","198"
"G0526/7 City of Galway Training Rest & Bar (50)","199"
"G0526/7 IQ Bar (50)","200"
"G0550 Unit 6 (16)","201"
"G0552 Demo Theatre (110)","202"
"G0559 Unit 8 Pastry Kitchen (16)","203"
"G0560 Accommodation and Front Office Suite (32)","204"
"G0602 Chemistry Lab (20)","205"
"G0603 Lab (20)","206"
"G0610 Organic Chemistry Lab (18)","207"
"G0615 Unit 9 (20)","208"
"G0616 Unit 1 (16)","209"
"G0623 Unit 3 (16)","210"
"G0625 Unit 4 (16)","211"
"G0626 Unit 5 (16)","212"
"G0629 Microbiology Lab (18)","213"
"G0632 Retail Lab (20)","214"
"G0637 Unit 10 (16)","215"
"G0701 Physics Lab (18)","216"
"G0702 Physics Lab (18)","217"
"G0703 Physics Lab (8)","218"
"G0704 Physics Lab (8)","219"
"G0707 CAD/CAM Lab (24)","220"
"G0724b W/S (20)","221"
"G0724C W/S CNC/Pen Factory (50)","222"
"G0724d Energy Fluid Lab (50)","223"
"G0728a Garage (24)","224"
"G0731 Wiring and Motor Control Installation Workshop (16)","225"
"G0736 Electrical and Electronic Projects Lab (16)","226"
"G0813 Computer Lab/PBL (20)","227"
"G0827 Electronics Lab (20)","228"
"G0828 Electronics Lab (20)","229"
